# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
CMC	CMC EKOCON d.o.o.	Slovenia	Europe
CMP	CM Partner Inc	South Korea	Asia
CMT	CMOSTEK MICROELECTRONICS CO., LTD.	China	Asia
CMV	Comverge, Inc.	United States of America	North America
CNM	COSTEL	South Korea	Asia
CNU	CNU Global	South Korea	Asia
COH	COHEAT Ltd, Future Business Centre	United Kingdom	Europe
COM	COMMON S.A.	Poland	Europe
CON	Conlog
CPG	CentraPlus GmbH	Germany	Europe
CPL	CPL CONCORDIA Soc.Coop.	Italy	Europe
CPO	C3PO S.A.	Spain	Europe
CPS	CAPITAL POWER SYSTEMS LIMITED	India	Asia
CQC	Yueqing Qicheng Electric Co., Ltd	China	Asia
CRD	CRDM DEVELOPPEMENTS	France	Europe
CRT	CRDM Technology	France	Europe
CRW	Xuzhou Runwu Science and Technology Development Co. Ltd.	China	Asia
CRY	Crystal Power	India	Asia
CSC	CHUBUSEIKI Co., LTD.	Japan	Asia
CSL	Comsel System Ltd	Finland	Europe
CSP	CSP – Innovazione nelle ICT	Italy	Europe
CTE	COSTER T.E. S.p.A.	Italy	Europe
CTL	Cyan Technology Ltd	United Kingdom	Europe
CTQ	Control-Q b.v	Netherlands	Europe
CTR	Contar – Electronica Industrial	Portugal	Europe
CTT	DLMS User Association Conformance	Switzerland	Europe
CTX	Contronix GmbH	Germany	Europe
CUC	Cuculus GmbH	Germany	Europe
CUR	CURRENT Group, LLC	United States of America	North America
CWA	CompWell AB	Sweden	Europe
CWI	Cewe Instrument AB	Sweden	Europe
CWV	CMEC Electric Import & Export Co. Ltd	China	Asia
CYE	Quanzhou Chiyoung Electronics Technology Co. Ltd.	China	Asia
CYI	QUANZHOU CHIYOUNG INSTRUMENT CO., LTD	China	Asia
CYN	Cynox, Weinart Engineering	Germany	Europe
CZA	Contadores de Agua de Zaragoza S.A.	Spain	Europe
CZM	Cazzaniga S.p.A.
DAE	DAE Srl	Italy	Europe
DAF	Daf Enerji Sanayi ve Ticaret A.S.	Turkey	Middle East
DAN	Danubia
DBE	Decibels Electronics P Ltd, Decibels Electronics Pvt Ltd.	India	Asia
DCD	Delhi Control Devices Pvt. Ltd.	India	Asia
DDE	D&D Elettronica srl	Italy	Europe
DDI	DD Infraventures Pvt. Ltd.	India	Asia
DDL	DONGDO LMS	South Korea	Asia
DEA	Dea HT srl	Italy	Europe
DEC	DECODE d.o.o. Data Communications	Serbia	Europe
DEL	DELTAMESS DWWF GmbH	Germany	Europe
DES	Desi (Alarms) Ltd	Turkey	Middle East
DEV	Develco Products	Denmark	Europe
DFE	Dongfang Electronics Co., Ltd.	China	Asia
DFS	Danfoss A/S
DGC	Digicom S.p.A.	Italy	Europe
DGM	Diehl Gas Metering GmbH	Germany	Europe
DGY	Discovergy GmbH	Germany	Europe
DHA	Shanghai dahua measuring&auto control instruments manufactory	China	Asia
DHQ	YIDU Smart Technology ( Beijing ) Co.,Ltd.	China	Asia
DIE	Dielen GmbH	Germany	Europe
DIG	Digutal Request GmbH	Germany	Europe
DIL	DECCAN INFRATECH LIMETED	India	Asia
DJA	De Jaeger Automation bvba	Belgium	Europe
DKY	Electric Power Research Institute of Guangdong Power Grid Corporation	China	Asia
DMC	DMC International	United Arab Emirates	Middle East
DME	DIEHL Metering	Germany	Europe
DMP	DM Power Co., Ltd	South Korea	Asia
DMS	Digilog Micro Solutions Private Limited	India	Asia
DNB	Dana Sanjesh Ab o Bargh (Danaab)	Iran	Middle East
DNO	DENO d.o.o.	Croatia	Europe
DNT	Dr Neuhaus Telekommunikation GmbH	Germany	Europe
DNV	DNV GL	Netherlands	Europe
DOM	Domat Control System	Czech Republic	Europe
DOS	Metsec Cables Ltd.	Kenya	Africa
DPP	DECCAN POWER PRODUCTS PVT. LTD.	India	Asia
DRT	DRESSER Italia S.r.l.	Italy	Europe
DSE	Digitech Systems and Engineering Private Limited	India	Asia
DST	Shenzhen Donsun Technology Co. Ltd.	China	Asia
DUA	DLMS User Association	Switzerland	Europe
DVL	devolo AG	Germany	Europe
DWZ	Lorenz GmbH & Co. KG	Germany	Europe
DZG	DZG Metering GmbH	Germany	Europe
EAA	Electronic Afzar Azma	Iran	Middle East
EAH	Endress+Hauser	Germany	Europe
EAS	EAS Elektronik San. Tic. A.S.	Turkey	Middle East
EBK	Biesenthal GmbH	Germany	Europe
EBV	EBV Elektronik GmbH & Co KG	Germany	Europe
EBZ	eBZ GmbH	Germany	Europe
ECA	ECO ADAPT	France	Europe
ECC	Energycare Company	Saudi Arabia	Middle East
ECH	Networked Energy Services Corporation	United States of America	North America
ECL	Electronics Corporation of India Ltd	India	Asia
ECM	Ecomess Sp. z o. o.	Poland	Europe
ECO	Engie BtoC (Smart program)	France	Europe
ECS	Herholdt Controls srl	Italy	Europe
EDI	Enel Distribuzione S.p.A, Via Ombrone, 2, Rome	Italy	Europe
EDM	EDMI Pty. Ltd.
EEC	ESCO Sp. z o.o.	Poland	Europe
EEE	3E s.r.l.	Italy	Europe
EEO	Eppeltone Engineers Pvt Ltd	India	Asia
EEP	ELECTRONET EQUIPMENT PVT LTD	India	Asia
EES	Eletra Industria e Comercio de Medidores Elétricos	Brazil	South America
EFA	EFACEC Engenharia e Sistemas SA	Portugal	Europe
EFE	Engelmann Sensor GmbH	Germany	Europe
EFI	Efimatic Iberica	Spain	Europe
EFN	EFEN GmbH	Germany	Europe
EFR	Europäische Funk-Rundsteuerung	Germany	Europe
EFS	EFSYS	France	Europe
EGA	eGain International AB	Sweden	Europe
EGC	Ekbatan Gas Control	Iran	Middle East
EGD	EcoGuard AB	Sweden	Europe
EGM	Elgama-Elektronika Ltd	Lithuania	Europe
EGW	Enermess Energie Mess- und Servicedienste GmbH	Germany	Europe
EGY	Egyptian Smart Meter Company	Egypt	Middle East
EHL	Secure Meters Limited
EIE	Ei Electronics	Ireland	Europe
EIP	Elmeasure India Pvt. Ltd	India	Asia
EIT	EnergyICT NV	Belgium	Europe
EKA	Eka Systems	United States of America	North America
EKO	EKOLIS	France	Europe
EKT	PA KVANT J.S.	Russian Federation	Europe
ELD	Elektromed Elektronik Ltd	Turkey	Middle East
ELE	Elster Electricity LLC	United States of America	North America
ELG	Elgas s.r.o.	Czech Republic	Europe
ELM	Elektromed Elektronik Ltd	Turkey	Middle East
ELO	ELO Sistemas Eletronicos S.A.	Brazil	South America
ELQ	ELEQ b.v.	Germany	Europe
ELR	Elster Metering Limited	United Kingdom	Europe
ELS	Elster GmbH	Germany	Europe
ELT	ELTAKO GmbH	Germany	Europe
ELV	Elvaco AB	Sweden	Europe
EMB	Embit s.r.l.	Italy	Europe
EMC	Embedded Communication Systems GmbH	Switzerland	Europe
EME	SC. Electromagnetica SA	Romania	Europe
EMF	IT-Beratung Energiemanagement Flammang	Germany	Europe
EMH	EMH metering GmbH & Co. KG (formerly EMH Elektrizitatszahler GmbH & CO KG)
EMI	Entorno Inteligente de Medición S.L.	Spain	Europe
EML	Emlite ltd	United Kingdom	Europe
EMM	Email Metering	Australia	Australia & Oceania
EMO	Enermet
EMR	CJSC “Energomera”	Russian Federation	Europe
EMS	EMS-PATVAG AG	Switzerland	Europe
EMT	Elster Messtechnik GmbH	Germany	Europe
EMU	EMU Elektronik AG	Switzerland	Europe
